Character,Character Name,Code Point,Block,Plane,Category
A,LATIN CAPITAL LETTER A,U+0041,Basic Latin,Plane 0 (BMP),"Letter, Uppercase"
©,COPYRIGHT SIGN,U+00A9,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Other"
€,EURO SIGN,U+20AC,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
∂,PARTIAL DIFFERENTIAL,U+2202,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
é,LATIN SMALL LETTER E WITH ACUTE,U+00E9,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
Φ,GREEK CAPITAL LETTER PHI,U+03A6,Greek and Coptic,Plane 0 (BMP),"Letter, Uppercase"
Ω,GREEK CAPITAL LETTER OMEGA,U+03A9,Greek and Coptic,Plane 0 (BMP),"Letter, Uppercase"
←,LEFTWARDS ARROW,U+2190,Arrows,Plane 0 (BMP),"Symbol, Other"
™,TRADE MARK SIGN,U+2122,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
∑,N-ARY SUMMATION,U+2211,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
α,GREEK SMALL LETTER ALPHA,U+03B1,Greek and Coptic,Plane 0 (BMP),"Letter, Lowercase"
β,GREEK SMALL LETTER BETA,U+03B2,Greek and Coptic,Plane 0 (BMP),"Letter, Lowercase"
γ,GREEK SMALL LETTER GAMMA,U+03B3,Greek and Coptic,Plane 0 (BMP),"Letter, Lowercase"
δ,GREEK SMALL LETTER DELTA,U+03B4,Greek and Coptic,Plane 0 (BMP),"Letter, Lowercase"
∞,INFINITY,U+221E,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
√,SQUARE ROOT,U+221A,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
∫,INTEGRAL,U+222B,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
≈,ALMOST EQUAL TO,U+2248,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
≠,NOT EQUAL TO,U+2260,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
≡,IDENTICAL TO,U+2261,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
≤,LESS-THAN OR EQUAL TO,U+2264,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
≥,GREATER-THAN OR EQUAL TO,U+2265,Mathematical Operators,Plane 0 (BMP),"Symbol, Math"
×,MULTIPLICATION SIGN,U+00D7,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Math"
÷,DIVISION SIGN,U+00F7,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Math"
%,PERCENT SIGN,U+0025,Basic Latin,Plane 0 (BMP),"Punctuation, Other"
$,DOLLAR SIGN,U+0024,Basic Latin,Plane 0 (BMP),"Symbol, Currency"
£,POUND SIGN,U+00A3,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Currency"
¥,YEN SIGN,U+00A5,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Currency"
